Sentence	Slot
"Schartau sagte dem "" Tagesspiegel "" vom Freitag , Fischer sei "" in einer Weise aufgetreten , die alles andere als überzeugend war "" ."	B-PER O O O B-ORG O O O O B-PER O O O O O O O O O O O O O O O
Firmengründer Wolf Peter Bree arbeitete Anfang der siebziger Jahre als Möbelvertreter , als er einen fliegenden Händler aus dem Libanon traf .	O B-PER I-PER I-PER O O O O O O O O O O O O O O O B-LOC O O
Ob sie dabei nach dem Runden Tisch am 23. April in Berlin durch ein pädagogisches Konzept unterstützt wird , ist allerdings zu bezweifeln .	O O O O O O O O O O O B-LOC O O O O O O O O O O O O
Bayern München ist wieder alleiniger Top- Favorit auf den Gewinn der deutschen Fußball-Meisterschaft .	B-ORG I-ORG O O O O O O O O O B-LOCderiv O O
Dabei hätte der tapfere Schlussmann allen Grund gehabt , sich viel früher aufzuregen .	O O O O O O O O O O O O O O
ARD-Programmchef Günter Struve war wegen eines vierwöchigen Urlaubs für eine Stellungnahme nicht erreichbar .	B-ORGpart B-PER I-PER O O O O O O O O O O O
Alternativ sollten sich die Restaurantbetreiber aus Sicht der Solingerin zu längeren Öffnungszeiten verpflichten , um wartende Kunden aufzunehmen .	O O O O O O O O B-LOCderiv O O O O O O O O O O
Die Deutsche Flugsicherung ( DFS ) beschloss ein Flugverbot für alle internationalen Flughäfen mit Ausnahme der beiden Berliner Flughäfen bis 2.00 Uhr nachts .	O B-ORG I-ORG O B-ORG O O O O O O O O O O O O B-LOCderiv O O O O O O
New Small Family mit E-Motor : Studie E-Up !	O O O O O O O O O
Eine Schwachstelle war beispielsweise der Spiegelkasten .	O O O O O O O
Denn durch den Einsatz moderner Fahrzeugtechnik ( Dieseltriebwagen ) und schalldämmender Fenster entsteht keine Einschränkung der Wohnqualität .	O O O O O O O O O O O O O O O O O O
Scenes of a Sexual Nature ( GB 2006 ) - Regie : Ed Blum Shortbus ( USA 2006 ) - Regie : John Cameron Mitchell :Film über den gleichnamigen New Yorker Club , der verschiedensten Paaren eine Plattform zur Aufarbeitung ihrer Probleme bietet .	B-OTH I-OTH I-OTH I-OTH I-OTH O O O O O O O B-PER I-PER B-OTH O B-LOC O O O O O B-PER I-PER I-PER O O O O B-LOCderiv I-LOCderiv O O O O O O O O O O O O O
